name,gender
James A Hughes,m
Emilia Fox,f
André Dussollier,m
John McIntire,m
Joseph Ragno,m
Richard Roxburgh,m
Joel Allen,m
Elizabeth McGovern,f
John Hurt,m
Lutz Schnell,m
Edward Bunker,m
Christopher Masterson,m
Motomu Kiyokawa,m
Emanuelle Araújo,f
Tatsuya Nakadai,m
Lily Tomlin,f
Park No-shik,m
Gedeon Burkhard,m
Henry Daniell,m
Kimberly Hebert Gregory,f
Robin Williams,m
Jinpachi Nezu,m
Moira Shearer,f
Bertha Moss,f
Yuko Miyamura,f
Robert Downey Jr.,m
Dominic Monaghan,m
Ciccio Barbi,m
Toshirō Mifune,m
Christoph Waltz,m
Vin Diesel,m
Caroline Goodall,f
David O'Hara,m
Mama Hung,f
Mario Pisu,m
Charlie Chaplin,m
Ray Winstone,m
Shane McRae,m
Kevin Corrigan,m
Barry Pepper,m
Girish Kulkarni,m
Steve Buscemi,m
Sean Astin,m
Alba Gaïa Bellugi,f
Jyonmyon Pe,m
Marco Nanini,m
Anthony Heald,m
Christopher Neame,m
Giannina Facio,f
Graham Greene,m
Duane Whitaker,m
Harry Dean Stanton,m
Louis Lombardi,m
Eddie Hall,m
Scatman Crothers,m
Bernd Tauber,m
Huguette Gervais,f
Ulrich Mühe,m
Will Hare,m
Takeo Chii,m
Franca Polesello,f
G. D. Spradlin,m
Eijirō Tōno,m
Ofelia Guilmáin,f
Tiberio Murgia,m
F. Blinn,m
Ghilherme Lobo,m
Joachim Bernhard,m
Alfred Abel,m
Sif Ruud,m
Yvonne Furneaux,f
Marisa Traversi,f
John Rhys-Davies,m
Dominik Charman,m
Gig Young,m
Hikari Mitsushima,f
Yûzô Kayama,m
Gunnar Björnstrand,m
Roberta Rodrigues,f
Gunnel Lindblom,f
Marcus Chong,m
Frances McDormand,f
Daniel Zettel,m
Russell Harvard,m
Ken Drury,m
Douglas Silva,m
Steve Buscemi,m
Edward Binns,m
Peter Capaldi,m
Emile Meyer,m
Mélissa Désormeaux-Poulin,f
Anna Mucha,f
Marton Csokas,m
Nicole Kidman,f
Max Bennett,m
Mick Garris,m
Michael Bates,m
Barbara Stanwyck,f
Park Hae-il,m
Oleg Yankovskiy,m
Renato Salvatori,m
Leonardo DiCaprio,m
Domingos Montagner,m
Yoku Shioya,m
Joe Palma,m
Leon Belasco,m
Rafe Spall,m
Jenna Coleman,f
Melissa Benoist,f
Vera Farmiga,f
Audrey Fleurot,f
Heinrich George,m
Rosemary Murphy,f
Jack Elam,m
Sean Astin,m
Aleksandr Titov,m
Jacques Sernas,m
Ed Bishop,m
Josh Brolin,m
Dileep Rao,m
Ann Gillis,f
William Forsythe,m
Welker White,f
Austin Trevor,m
John Marley,m
Sylvester Groth,m
Allen Leech,m
Gabriele Lavia,m
Joe Keaton,m
Kaoru Kobayashi,m
Samara Weaving,f
Cillian Murphy,m
Anthony Daniels,m
Yves Montand,m
Lu Qi,m
Kirk Douglas,m
Vladimir Brichta,m
Yuriy Nazarov,m
Matt Winston,m
Seiji Miyaguchi,m
Aoi Yuki,f
Madeleine Lebeau,f
Zeljko Ivanek,m
Jack Oakie,m
Jean-Louis Trintignant,m
Toshirō Mifune,m
Richard Beymer,m
Nikolay Burlyaev,m
Karim Babin,m
Cynthia Evans,f
Lee Strasberg,m
Anatoliy Obukhov,m
Zoe Leader,f
Heinz Hoenig,m
Yutaka Shimizu,m
Virginia Christine,f
Sakura Ando,f
Karl Swenson,m
Tom Virtue,m
Roberto Benigni,m
Lenny Montana,m
Yuya Yagira,m
Ana Lúcia Torre,f
Warren Clarke,m
Ricky Jay,m
Charles Durning,m
Shameik Moore,m
Ludwig Blochberger,m
William Windom,m
Alexandre Rodrigues,m
Valeria Ciangottini,f
Kavita Patil,f
Takako Irie,f
Evanna Lynch,f
Keisuke Horibe,m
Paulette Goddard,f
Kishou Taniyama,m
Franklyn Farnum,m
Thelma Ritter,f
Madge Sinclair,f
Yui Ishikawa,f
Topher Grace,m
Morgan Hunter,m
Bruno Garcia,m
Ilan Goodman,m
Yoon Jin-seo,f
Henry Daniell,m
Billie Piper,f
Edie Adams,f
Evgeniy Kostin,m
Annika Wedderkopp,f
Randy Stuart,f
Takeshi Kaneshiro,m
Giovanni Storti,m
Anatoliy Solonitsyn,m
Adam Goldberg,m
Mark Ruffalo,m
Ted Pluviose,m
Conrad Veidt,m
Alan Rickman,m
Tsunehiko Kamijô,m
Pat O’Brien,m
Mark Margolis,m
Warwick Davis,m
Monique Gabriela Curnen,f
Pierre-Yves Cardinal,m
Marlene Dietrich,f
Adrienne Corri,f
Isao Kimura,m
Marlon Brando,m
Slim Pickens,m
Julian Spencer,m
Marcello Mastroianni,m
Lorenzo Robledo,m
Torin Thatcher,m
Oh Dal-su,m
Giovanna Galletti,f
Shima Iwashita,f
Jane Adams,f
Byun Hee-bong,m
Elizabeth Olsen,f
Claudia Cardinale,f
Glenn Beck,m
Masao Shimizu,m
Yūnosuke Itō,m
Richard Widmark,m
Talitha Bateman,f
Esther Garrel,f
Annie Rosar,f
Leopoldo Trieste,m
Tetsurō Tamba,m
Ellen Page,f
Helen McCrory,f
Gero Camilo,m
Tsutomu Yamazaki,m
Volkmar Kleinert,m
Mario Feliciani,m
Henny Youngman,m
Dennis W. Hall,m
Tom Helmore,m
Lee Jae-eung,m
John Standing,m
Tuesday Weld,f
Erwin Biswanger,m
Lee Seung-yeon,f
Rod Steiger,m
Dominic Desnoyers,m
Jared Leto,m
Brigitte Helm,f
Kanehira Yamamoto,m
Amir Ali Said,m
Lee Paul,m
Lukas Haas,m
Orson Welles,m
Gloria Swanson,f
Frank Barnes,m
Wes Bentley,m
Alice Braga,f
Burt Young,m
Giorgio Cantarini,m
Kyle MacLachlan,m
Tatsuya Mihashi,m
Russell Hornsby,m
Aoi Miyazaki,f
James Badge Dale,m
Thomas Gallagher,m
Mike Starr,m
Matt Damon,m
William Devane,m
Jerry Vale,m
Sammy Stein,m
Matt Damon,m
Karan Johar,m
Rosanna Arquette,f
Antonio Casale,m
Robert Duvall,m
Leila Boumedjane,f
Gil Bellows,m
Albert Hall,m
Robin Hodges,m
Kuniko Miyake,f
Philip Stone,m
Gwyneth Paltrow,f
Kensho Ono,m
Aunjanue Ellis,f
Brandon Beach,m
Liubomiras Laucevicius,m
Robert Redford,m
William Holden,m
Todd Karns,m
Rossella Falk,f
Abdelghafour Elaaziz,m
Giuseppe Tornatore,m
Antonio Molino Rojo,m
Eric Stoltz,m
Colin Baker,m
Oliver Phelps,m
Paul Litowsky,m
Spencer Tracy,m
Jim Carrey,m
Carrie Fisher,f
Paolo D Bovani,m
Edward Norton,m
Satish Shah,m
Anthony Ray Parker,m
Irma Raush,f
Paul Rudd,m
Yoshiko Shinohara,f
Jürgen Prochnow,m
Dean R. Brooks,m
Mohamed Majd,m
Robert Duvall,m
Colin Kenny,m
Divian Ladwa,m
Nobuo Nakamura,m
Natalie Portman,f
Orazio Orlando,m
Bronagh Gallagher,f
Cho Jin-woong,m
Vladimir Prikhodko,m
Sô Yamamura,m
Buster Keaton,m
Kenneth MacKenna,m
Tim Colceri,m
Anupam Kher,m
E.G. Marshall,m
Kathleen Freeman,f
Harris Savides,m
Nino Marchetti,m
Liam Neeson,m
Tony Leung Chiu-Wai,m
Giulietta Masina,f
Barbara Bates,f
Otto Wernicke,m
Augusto Madeira,m
Machiko Kyō,f
Fortunio Bonanova,m
Shah Rukh Khan,m
Minoru Chiaki,m
Jean Reno,m
Marianne Muellerleile,f
Maria Falconetti,f
Leonardo DiCaprio,m
Thomas Thieme,m
Whoopi Goldberg,f
Mandira Bedi,f
Sean Astin,m
Cate Blanchett,f
Tessa Thompson,f
Cas Anvar,m
Bob Stephenson,m
Eve Brent,f
Mark Ruffalo,m
Jay Silverheels,m
Patricia Hitchcock,f
Jackie Sawiris,f
Robert Sean Leonard,m
Reda Guerinik,m
Siu Ping-Lam,m
Konrad Becker,m
Chris Pine,m
Kichijirô Ueda,m
Joanna Page,f
Olivia Tennet,f
Bill Nunn,m
Salvatore Cascio,m
Tomoko Tabata,f
Hugo Weaving,m
Sean Bean,m
Michael Elphick,m
Miles Teller,m
Ray Wise,m
Noriko Honma,f
Giovanni Ribisi,m
Cole Sprouse,m
B. J. Novak,m
Matthew Lewis,m
Jang So-yeon,f
Cassady McClincy,f
Jack Kehoe,m
Estelle Evans,f
Pat Hingle,m
Daisuke Ono,m
Kyôko Kagawa,f
Karen Gillan,f
Maksim Munzuk,m
Hakou Benosmane,m
Masayuki Mori,m
Talulah Riley,f
Frank Sivero,m
Paul Giamatti,m
Eddie Byrne,m
Mario Casas,m
Gregory Ratoff,m
Kasi Lemmons,f
Ana Wagener,f
Firass Dirani,m
Gastone Moschin,m
Wendy Crewson,f
Colleen Camp,f
Robert Guillaume,m
Edwin H. Bravo,m
Wilfred Lucas,m
Maya Sansa,f
Nadine Labaki,f
Peter Greene,m
Jemma Redgrave,f
Don Blackman,m
Quentin Tarantino,m
Karen Gillan,f
Joe Pesci,m
Issa Rae,f
Helena Bonham Carter,f
Daniel Davis,m
Enrique Díaz,m
Barbara Bel Geddes,f
Russ Tamblyn,m
Ed Begley,m
Barbara Drew,f
James Westerfield,m
Chris Lowell,m
Darío Moreno,m
Shigesato Itoi,m
Vik Sahay,m
Kathryn Newton,f
Frank Gio,m
Colin McFarlane,m
Jacques Perrin,m
Benkt-Åke Benktsson,m
John Terry,m
Lionel Barrymore,m
Ciarán Hinds,m
Oona Chaplin,f
Jan Fedder,m
Tom Mason,m
Emilie Caen,f
Bess Flowers,f
Fabio Testi,m
Common,m
Hisako Kyouda,f
Jack Nance,m
Tracy Reed,f
Sergio Leone,m
Mone Kamishiraishi,f
Cheech Marin,m
Steve Murphy,m
Michael V. Gazzo,m
Fred Clark,m
Kamatari Fujiwara,m
Ada Nicodemou,f
Frank Overton,m
Michael Fassbender,m
Pat Gorman,m
Amanda Warren,f
Chris Penn,m
Léa Seydoux,f
Christina Cabot,f
Maggie Gyllenhaal,f
Joshua Harto,m
Bradley Cooper,m
Liv Tyler,f
Atsushi Watanabe,m
Tatsuya Nakadai,m
Louis Ravet,m
Pat Henning,m
Makiko Watanabe,f
Tim Roth,m
Eddie Foster,m
David Selvas,m
Bill Baldwin,m
James Tolkan,m
Atsuro Watabe,m
Erland Josephson,m
K.J. Apa,m
Geraldine Chaplin,f
Haley Lu Richardson,f
Thomas Mitchell,m
Ken Yasuda,m
Wes Chatham,m
Peter de Jersey,m
Christopher Berry,m
David Gyasi,m
Chester Conklin,m
Paul Bettany,m
Josh Charles,m
John Fiedler,m
Kate Drummond,f
Gus Schilling,m
Gian Maria Volonté,m
John Carroll Lynch,m
Cecil B. DeMille,m
Gordon Tanner,m
Elsa Lanchester,f
Woody Strode,m
Michael DeLorenzo,m
Al Lettieri,m
Humphrey Bogart,m
Matt Smith,m
Cynthia Wood,f
Matt Doran,m
Rami Malek,m
Carrie-Anne Moss,f
Hanns Leo Reich,m
Izabela Vidovic,f
Rory Kinnear,m
Eric Challier,m
Tony Leung Chiu-Wai,m
Miles Heizer,m
Erik Strandmark,m
Jacqueline Andere,f
Barry Nelson,m
Miranda Otto,f
Ralf Richter,m
Bobby Barber,m
Anne Baxter,f
Bob Gunton,m
Sam Bottoms,m
Rudy Bond,m
Kumiko Aso,f
Nastassja Kinski,f
Aldo Baglio,m
Jack Webb,m
Françoise Remont,f
Richard Bright,m
Al Mulock,m
Noma Dumezweni,f
Norma Varden,f
Timothée Chalamet,m
Millie Davis,f
Julia Roberts,f
Patricia Clarkson,f
Max Tortora,m
Luke Bracey,m
Alonzo Brown,m
Robert Loggia,m
Dimiter D. Marinov,m
Siegfried Breuer,m
Ge You,m
Don Cheadle,m
Noah Jupe,m
Deirdre O'Connell,f
Nicola Di Pinto,m
Diane Kruger,f
Park Sang-myeon,m
Giovanni Storti,m
Ben Ratner,m
Danielle Rose Russell,f
Marlene Dietrich,f
Vera Miles,f
Keanu Reeves,m
Paul Bartel,m
Phil Brown,m
Jung Ryeo-won,f
Gerry Robert Byrne,m
Frank Welker,m
Keira Knightley,f
Natalie Hamel-Roy,f
Hannes Hellmann,m
Harry Northup,m
Juliette Binoche,f
H.B. Warner,m
Paul McCrane,m
Fred MacMurray,m
Jerry Ziesmer,m
Fred MacMurray,m
Peter van Eyck,m
Nobuo Nakamura,m
Kyle Breitkopf,m
Sean Bridgers,m
Adrien Brody,m
Sebastian Koch,m
Hugh Marlowe,m
Louison Blivet,f
Albert Austin,m
Ludmilla Tchérina,f
Billy Boyd,m
Takashi Shimura,m
William Tubbs,m
Rick Baker,m
Dean Stockwell,m
Karl Platen,m
Kirk Baltz,m
Song Lee-woo,f
Ellen Corby,f
Mario Scarpetta,m
Michael Harvey,m
Megumi Hayashibara,f
Michelle Williams,f
John Hollis,m
Sunny Pawar,m
David Oyelowo,m
Alex Lawther,m
Zoe Saldana,f
Shôtarô Hayashi,m
Cyd Charisse,f
Franca Marzi,f
Salvo Randone,m
Charles Bronson,m
George Sanders,m
Theodor Loos,m
Bolaji Badejo,m
Tom Berenger,m
Cole Hauser,m
Alexandre Mihalesco,m
Edward Binns,m
Kim Su-hyeon,m
Lamberto Maggiorani,m
Mélanie Laurent,f
Benedict Cumberbatch,m
Piper Laurie,f
Akira Ishida,m
Wendie Jo Sperber,f
Nikolay Grinko,m
Scarlett Johansson,f
Morgan Lund,m
Liev Schreiber,m
Aldo Rendine,m
Jayson Blair,m
Shelagh Fraser,f
Danielle Ornelas,f
Werner Klemperer,m
François Caron,m
Paul McGann,m
Irène Jacob,f
Tony Hale,m
Paul Faßnacht,m
Jack Purvis,m
Kengo Kora,m
Talia Shire,f
Robert De Niro,m
Samuel S. Hinds,m
Rudolf Klein-Rogge,m
Kokuten Kôdô,m
Mike Mazurki,m
Jack Nicholson,m
Jonathan Taylor Thomas,m
Charles Laughton,m
