title,date,actors,staff,genres
Dilwale Dulhania Le Jayenge,1995-10-20,"[Shah Rukh Khan, Kajol, Amrish Puri, Anupam Kher, Satish Shah, Achala Sachdev, Himani Shivpuri, Pooja Ruparel, Mandira Bedi, Uday Chopra, Parmeet Sethi, Karan Johar, Anaita Shroff Adajania, Farida Jalal]","[Aditya Chopra, Aditya Chopra, Aditya Chopra, Javed Siddiqui, Uday Chopra, Yash Chopra, Sharmishta Roy, Vinod Rathod, Farah Khan]","[Comedy, Drama, Romance]"
The Shawshank Redemption,1994-09-23,"[Tim Robbins, Morgan Freeman, Bob Gunton, Clancy Brown, Mark Rolston, James Whitmore, Gil Bellows, William Sadler, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Morgan Lund, Scott Mann]","[Frank Darabont, Thomas Newman, Roger Deakins, Richard Francis-Bruce, Terence Marsh, Deborah Aquila, Frank Darabont, Stephen King, Liz Glotzer, David V. Lester, Michael Seirton, Monty Westmore, Peter Landsdown Smith, Elizabeth McBride]","[Drama, Crime]"
The Godfather,1972-03-14,"[Marlon Brando, Al Pacino, James Caan, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Morgana King, Lenny Montana, John Martino]","[Francis Ford Coppola, Albert S. Ruddy, Mario Puzo, Francis Ford Coppola, William Reynolds, Peter Zinner, Mario Puzo, Gordon Willis, Nino Rota, Dean Tavoularis, Philip Smith, Anna Hill Johnstone, Gray Frederickson, Louis DiGiaimo, Fred Roos, Robert Ward, Fred T. Gallo]","[Drama, Crime]"
Your Name.,2016-08-26,"[Ryunosuke Kamiki, Mone Kamishiraishi, Masami Nagasawa, Etsuko Ichihara, Ryou Narita, Aoi Yuki, Kaito Ishikawa, Tani Kanon, Masaki Terasoma, Sayaka Ohara, Kana Hanazawa, Kazuhiko Inoue]","[Makoto Shinkai, Makoto Shinkai, Makoto Shinkai, Yojiro Noda, Yojiro Noda, Ei Inoue]","[Romance, Animation, Drama]"
Avengers: Endgame,2019-04-24,"[Robert Downey Jr., Chris Evans, Chris Hemsworth, Mark Ruffalo, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Bradley Cooper, Brie Larson, Karen Gillan, Josh Brolin, Benedict Cumberbatch, Chadwick Boseman, Tom Holland, Zoe Saldana, Gwyneth Paltrow, Evangeline Lilly, Tessa Thompson, Rene Russo]","[Kevin Feige, Joe Russo, Anthony Russo, Christopher Markus, Stephen McFeely, Jon Favreau, Alan Silvestri, Jim Starlin, Jack Kirby, Trent Opaloch, Sarah Finn, Christopher Markus, Stephen McFeely, Judianna Makovsky, Kristine Nadal]","[Adventure, Science Fiction, Action]"
Schindler's List,1993-12-15,"[Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Mark Ivanir, Andrzej Seweryn, Friedrich von Thun, Jerzy Nowak, Norbert Weisser, Anna Mucha, Rami Heuberger, Elina Löwensohn, Hans-Jörg Assmann]","[Steven Spielberg, Steven Zaillian, Steven Spielberg, Branko Lustig, Gerald R. Molen, Janusz Kamiński, Michael Kahn, Anna B. Sheppard, John Williams, Juliet Taylor, Allan Starski]","[Drama, History, War]"
The Godfather: Part II,1974-12-20,"[Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G. D. Spradlin, Richard Bright, Francesca De Sapio, Oreste Baldini, Gastone Moschin, Giuseppe Sillato, Bruno Kirby, Frank Sivero, Morgana King, Marianna Hill, Leopoldo Trieste, Dominic Chianese]","[Francis Ford Coppola, Francis Ford Coppola, Gray Frederickson, Fred Roos, Mario Puzo, Francis Ford Coppola, Gordon Willis, Carmine Coppola, Nino Rota, Dean Tavoularis, Barry Malkin, Richard Marks, Peter Zinner, Jane Feinberg, Mike Fenton, Vic Ramos]","[Drama, Crime]"
Spirited Away,2001-07-20,"[Miyu Irino, Mari Natsuki, Bunta Sugawara, Ryunosuke Kamiki, Tatsuya Gashûin, Yo Oizumi, Tsunehiko Kamijô, Takehiko Ono, Ken Yasuda]","[Hayao Miyazaki, Toshio Suzuki, Yasuyoshi Tokuma, Joe Hisaishi, Takeshi Seyama, Hayao Miyazaki, Michiyo Yasuda, Michihiro Itou]","[Animation, Family, Fantasy]"
The Green Mile,1999-12-10,"[Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Patricia Clarkson, Michael Jeter, Sam Rockwell, Graham Greene, Doug Hutchison, Barry Pepper, Jeffrey DeMunn, Harry Dean Stanton, Gary Sinise, Dabbs Greer, Eve Brent, William Sadler, Paula Malcomson]","[Frank Darabont, Frank Darabont, David Valdes, Frank Darabont, Thomas Newman, David Tattersall, Richard Francis-Bruce, Mali Finn, Terence Marsh, Michael Seirton, Karyn Wagner, Stephen King, Ralph Nelson, Janis Clark, Kerry Rossall]","[Fantasy, Drama, Crime]"
Life Is Beautiful,1997-12-20,"[Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Horst Buchholz, Marisa Paredes, Adelaide Alaïs, Hannes Hellmann, Wolfgang Hillinger, Gina Rovere, Richard Sammel]","[Roberto Benigni, John Davis, Roberto Benigni, Vincenzo Cerami, Tonino Delli Colli, Simona Paggi, Nicola Piovani, Danilo Donati, Danilo Donati, Mario Cotone, Shaila Rubin, Nicola Piovani, Agnès Mentre]","[Comedy, Drama]"
