name,gender
Eric Serra,m
George Lucas,m
Murray Cutter,m
Jennifer Todd,f
Sheldon Kahn,m
Michael Powell,m
Jenny Jue,f
Danny DeVito,m
Akira Kurosawa,m
Walter Plunkett,m
Sunao Katabuchi,m
Stanley Kubrick,m
Michael Kahn,m
Matty Malneck,m
Tomm Moore,m
Antonio Pinto,m
Richard Baer,m
Jack Kirby,m
Darren T. Holmes,m
Eugène Lourié,m
Akira Kurosawa,m
Paul Sylbert,m
Joe Hisaishi,m
Wong Kar-wai,m
Lennie Hayton,m
Graham Johnston,m
John Williams,m
Barry Malkin,m
Hayao Miyazaki,m
John Mollo,m
Dustin O'Halloran,m
Sion Sono,m
Mali Finn,f
Wally Westmore,m
Frank Darabont,m
Gu Chang-Wei,m
David Barron,m
Stan Lee,m
Charlie Kaufman,m
Hideo Oguni,m
Xavier Dolan,m
Vittorio De Sica,m
Fernando Meirelles,m
David Lynch,m
Lee Seung-chul,m
Orson Welles,m
Vivian Kubrick,f
Gary Kurtz,m
Steven Spielberg,m
Stanley Kubrick,m
Matthew Aldrich,m
Joe Hisaishi,m
Frédéric Chopin,m
Wojciech Kilar,m
Arturo Ripstein,m
Ernest Gold,m
Masaru Satô,m
Robert Aldrich,m
Mark Day,m
Charles Rosen,m
Charles B. Wessler,m
Janusz Kamiński,m
Fumio Yanoguchi,m
Takahiro Omori,m
Kathy Nelson,f
Barrie M. Osborne,m
George Lucas,m
John P. Fulton,m
Milena Canonero,f
Eugen Schüfftan,m
Mark Ordesky,m
John King,m
Eduardo Serra,m
Sergio Leone,m
Otello Martelli,m
Lee Hwan-kyung,m
Gregory Nicotero,m
Brunello Rondi,m
Ennio Morricone,m
Billy Wilder,m
Denis Villeneuve,m
Joe Hisaishi,m
Isao Takahata,m
Edward Saxon,m
Christopher Nolan,m
Robert Hathaway,m
Robert Surtees,m
Sylvie Landra,f
Rachel Elkind,f
Toshihiro Isomi,m
Zbigniew Preisner,m
Akira Kurosawa,m
Helmut Ringelmann,m
Georges Auric,m
John Aldred,m
Eva Kroll,f
Fiona Weir,f
Paul Falkenberg,m
Willard Van Enger,m
Chris Sievernich,m
Alexey Rodionov,m
Takao Saitô,m
Roberto Rossellini,m
Peter Weatherley,m
Robert Baberske,m
George Tomasini,m
Alex Gibson,m
Gerald B. Greenberg,m
Harvey Weinstein,m
Wong Ming-Lam,m
Philippa Boyens,f
Martin McDonagh,m
Octavia Spencer,f
Linda Cohen,f
Anna B. Sheppard,f
Justin Baldoni,m
Ian Bryce,m
Wendy Carlos,f
Geoffrey Patterson,m
César Charlone,m
Andrei Konchalovsky,m
Leo F. Forbstein,m
Raymond Borderie,m
Todd Hallowell,m
Hughes Winborne,m
Bernard Herrmann,m
Hayao Miyazaki,m
Hans F. Koenekamp,m
Takao Saitô,m
Allan Starski,m
Andrea Morricone,f
Ingmar Bergman,m
Cis Corman,f
Henry Fonda,m
Barrie M. Osborne,m
Johann Sebastian Bach,m
Scott Rudin,m
Dan Hennah,m
William Hornbeck,m
Brian De Palma,m
Owen Paterson,m
Kim Jae-beom,m
Simone Bär,f
Nitesh Tiwari,m
Wong Kar-wai,m
Edwin B. Willis,m
Don Davis,m
Charlie Chaplin,m
Bráulio Mantovani,m
Ted Tally,m
Philip Stockton,m
Stanley Kubrick,m
Eric Toledano,m
Charlie Chaplin,m
Sergio Leone,m
Sergio Amidei,m
Michael Chapman,m
Mikkel Maltha,m
Tonino Delli Colli,m
Brian Easdale,m
Hideo Oguni,m
Katinka Faragó,f
Melvin Shapiro,m
Fred Roos,m
Hideo Oguni,m
Charlie Chaplin,m
Andrea C. Brotherton,f
James B. Harris,m
Danny Cohen,m
Alfred Hitchcock,m
Robert Thoeren,m
Stan Lee,m
Peter Jackson,m
Kim McCraw,f
Isabelle Pannetier,f
Kunji Tanifuji,m
Masanobu Deme,m
John Cox,m
Kristine Nadal,f
Krzysztof Kieślowski,m
Dean Tavoularis,m
Avi Arad,m
Andrei Tarkovsky,m
Akira Kurosawa,m
Joseph L. Mankiewicz,m
Chris Sanders,m
Philip G. Epstein,m
Ryu Seong-hee,f
Akira Kurosawa,m
Andrzej Sekula,m
David Lynch,m
Joseph Conrad,m
Syd Lim,m
Fred Roos,m
David F. Klassen,m
Jonathan Nolan,m
Hideaki Anno,m
Ronald M. Bozman,m
Frank De Vol,m
Jonathan Gordon,m
Tom Smith,m
Esteban Bravo,m
Rodney Rothman,m
Daniel Mandell,m
Stanley Kubrick,m
Ronnie Yeskel,f
Heta Mantscheff,f
Carl Canga,m
Gray Frederickson,m
Kazuo Miyagawa,m
Toshio Suzuki,m
Tony Thomas,m
Luc Besson,m
Riz Ortolani,m
Hugh Bateup,m
Farah Khan,f
Suzanne Smith,f
Justin Baldoni,m
Ellen Lewis,f
Roy Scammell,m
Alberto Grimaldi,m
Hideo Oguni,m
Alec Coppel,m
Aggie Guerard Rodgers,f
Luis Alcoriza,m
Edith Head,f
Vernon L. Walker,m
Bob Weinstein,m
George Milo,m
Don Burgess,m
Patricia Norris,f
Asakazu Nakai,m
Giuseppe Tornatore,m
John Huston,m
Terry Bamber,m
Patti Podesta,f
Greg Burridge,m
René Renoux,m
Bud Thackery,m
Maher Ahmad,m
Edith Head,f
Hans Stumpf,m
Martin Müller,m
Jack Nitzsche,m
Seymour Nebenzal,m
Charles D. Hall,m
Quentin Tarantino,m
Peter Przygodda,m
Michael Lynne,m
Vittorio De Sica,m
Konstantin Irmen-Tschet,m
Richard Day,m
Charlie Chaplin,m
Barbara De Fina,f
Elem Klimov,m
Yuichiro Saito,m
Hayao Miyazaki,m
Tate Taylor,m
I. A. L. Diamond,m
Louis DiGiaimo,m
Hans Dreier,m
"Łukasz Żal",m
Wong Kar-wai,m
Henri-Georges Clouzot,m
Michael Seirton,m
Stanley Donen,m
Charlie Chaplin,m
François Truffaut,m
Leonid Kalashnikov,m
Jerry Ross,m
David Klotz,m
Ruggero Mastroianni,m
Audrey Wells,f
Beth David,f
Andrei Tarkovsky,m
Luca Guadagnino,m
Hugh Scaife,m
J.R.R. Tolkien,m
Ivy Baker,f
Nina Gold,f
Alain Attal,m
Robert Griffon Jr.,m
Yutaka Yamazaki,m
Kim Moo-ryoung,f
Frank Capra,m
Nino Baragli,m
Dario Argento,m
Pier Paolo Pasolini,m
Paulo Lins,m
Anthony Masters,m
Bryan Singer,m
Anatole Dauman,m
